,uniprot_ids,hgnc_id,symbol,name,alias_symbol,alias_name,ev_association_score
75,Q8WU58,HGNC:25563,FAM222B,family with sequence similarity 222 member B,FLJ10700,,1.139043421
76,P55273,HGNC:1790,CDKN2D,cyclin dependent kinase inhibitor 2D,INK4D|p19,,1.103313269
77,Q9NUG6,HGNC:16119,PDRG1,p53 and DNA damage regulated 1,dJ310O13.3,,2.78616181
78,P30041,HGNC:16753,PRDX6,peroxiredoxin 6,AOP2|KIAA0106|1-Cys|NSGPx|PRX|aiPLA2|MGC46173|p29,,1.753566164
79,A2A288,HGNC:21175,ZC3H12D,zinc finger CCCH-type containing 12D,dJ281H8.1|MCPIP4,MCP induced protein 4,24.47142592
80,Q15032,HGNC:9757,R3HDM1,R3H domain containing 1,KIAA0029,,2.709479406
81,Q9H792,HGNC:29431,PEAK1,pseudopodium enriched atypical kinase 1,KIAA2002|sgk269,,1.565351968
82,Q9NU19,HGNC:21602,TBC1D22B,TBC1 domain family member 22B,FLJ20337|dJ744I24.2,,2.22540484
83,Q8TCU4,HGNC:428,ALMS1,ALMS1 centrosome and basal body associated protein,KIAA0328,,2.372487514
84,Q53S99,HGNC:25344,SLC19A4P,"solute carrier family 19 member 4, pseudogene",DKFZp547H025,,1.088423869
85,Q8N2Z9,HGNC:23163,CENPS,centromere protein S,CENP-S|FAAP16,,1.474220897
86,Q5T6F0,HGNC:19911,DCAF12,DDB1 and CUL4 associated factor 12,DKFZP434O125|MGC1058|CT102|TCC52,cancer/testis antigen 102,1.702728965
87,Q15435,HGNC:9295,PPP1R7,protein phosphatase 1 regulatory subunit 7,sds22,,35.96588708
88,Q9GZV4,HGNC:3301,EIF5A2,eukaryotic translation initiation factor 5A2,,,1.891465957
89,C9J069,HGNC:37284,AJM1,apical junction component 1 homolog,ajm-1,,1.280604464
90,Q12802,HGNC:371,AKAP13,A-kinase anchoring protein 13,Ht31|BRX|AKAP-Lbc|c-lbc|PROTO-LB|HA-3|ARHGEF13,,2.597155452
91,O15049,HGNC:29852,N4BP3,NEDD4 binding protein 3,LZTS4,,1.111312095
92,Q8IYX8,HGNC:21561,CEP57L1,centrosomal protein 57 like 1,bA487F23.2|MGC21731,,12.67620173
93,Q9H0F5,HGNC:18052,RNF38,ring finger protein 38,,,1.732718291
94,Q96MH7,HGNC:24738,C5orf34,chromosome 5 open reading frame 34,FLJ32363,,1.972429946
95,Q9Y233,HGNC:8772,PDE10A,phosphodiesterase 10A,,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",1.090893539
96,Q86SQ0,HGNC:29573,PHLDB2,pleckstrin homology like domain family B member 2,LL5beta|FLJ21791|LL5b,,1.596671219
97,Q9BYT3,HGNC:14568,STK33,serine/threonine kinase 33,,,1.322983837
98,Q9BQD3,HGNC:28420,KXD1,KxDL motif containing 1,FLJ25480|MGC2749|KXDL|BORCS4,BLOC-1 related complex subunit 4,1.891813925
99,Q02641,HGNC:1401,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1,,,2.697572684
100,Q9NXH3,HGNC:14953,PPP1R14D,protein phosphatase 1 regulatory inhibitor subunit 14D,CPI17-like|FLJ20251|GBPI-1|MGC119014|MGC119016,gut and brain phosphatase inhibitor 1|PKC-dependent PP1 inhibitory protein,1.247073746
101,C9J7I0,HGNC:48955,UMAD1,UBAP1-MVB12-associated (UMA) domain containing 1,,,2.181326064
102,Q96CA5,HGNC:13702,BIRC7,baculoviral IAP repeat containing 7,mliap|ML-IAP|KIAP|RNF50,melanoma inhibitor of apoptosis protein|kidney inhibitor of apoptosis protein|livin inhibitor-of-apoptosis|livin,4.46497418
103,O15212,HGNC:4926,PFDN6,prefoldin subunit 6,KE-2|H2-KE2|PFD6,,1.235492351
104,P30613,HGNC:9020,PKLR,pyruvate kinase L/R,,,1.604590582
105,Q15388,HGNC:20947,TOMM20,translocase of outer mitochondrial membrane 20,KIAA0016|TOM20|MOM19|MAS20,translocase of outer mitochondrial membrane 20 homolog type II,1.36420427
106,Q9NVN3,HGNC:25555,RIC8B,RIC8 guanine nucleotide exchange factor B,FLJ10620|hSyn|RIC8,,19.07888638
107,Q9NY30,HGNC:13862,BTG4,BTG anti-proliferation factor 4,PC3B|APRO3,,2.740335765
108,Q8IWW6,HGNC:16348,ARHGAP12,Rho GTPase activating protein 12,FLJ20737|FLJ10971|FLJ21785,,1.294033964
109,Q6Y7W6,HGNC:11960,GIGYF2,GRB10 interacting GYF protein 2,KIAA0642|GYF2,GYF domain containing 2,1.090895791
110,P19525,HGNC:9437,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2,PKR|PPP1R83,"protein phosphatase 1, regulatory subunit 83|Protein Kinase RNA-activated|protein kinase RNA-regulated|Protein Kinase R",1.503528474
111,Q8NCU1,HGNC:19860,CCDC197,coiled-coil domain containing 197,,,1.607049613
112,Q8TE73,HGNC:2950,DNAH5,dynein axonemal heavy chain 5,Dnahc5|HL1|PCD|CILD3|KTGNR,dynein heavy chain 5,1.009081331
113,Q5JY77,HGNC:24834,GPRASP1,G protein-coupled receptor associated sorting protein 1,GASP|GASP1,,1.578918724
114,Q6IS14,HGNC:17419,EIF5AL1,eukaryotic translation initiation factor 5A like 1,bA342M3.3,,4.433995392
115,Q9Y6B2,HGNC:1191,EID1,EP300 interacting inhibitor of differentiation 1,EID-1,,1.545840232
116,A6NE01,HGNC:26980,FAM186A,family with sequence similarity 186 member A,LOC121006,,1.370052307
117,Q5T9C2,HGNC:31419,EEIG1,estrogen-induced osteoclastogenesis regulator 1,Eeig1|bA203J24.7|SYM-3A,sym-3 homolog A (C. elegans)|early estrogen-induced gene 1,7.578487338
118,P06239,HGNC:6524,LCK,"LCK proto-oncogene, Src family tyrosine kinase",,,1.820617692
119,Q16825,HGNC:9651,PTPN21,protein tyrosine phosphatase non-receptor type 21,PTPD1|PTPRL10,,1.284940923
120,Q8IWZ8,HGNC:18643,SUGP1,SURP and G-patch domain containing 1,F23858|DKFZp434E2216|RBP,,4.849963551
121,Q96L91,HGNC:11958,EP400,E1A binding protein p400,CAGH32|KIAA1498|P400|KIAA1818|DKFZP434I225,hDomino(p400),1.459611793
122,P54132,HGNC:1058,BLM,BLM RecQ like helicase,BS|RECQL3|RECQ2,,1.964351513
123,Q9BT81,HGNC:18196,SOX7,SRY-box transcription factor 7,,,2.048057707
124,Q5VYM1,HGNC:31418,SPATA31G1,SPATA31 subfamily G member 1,MGC41945,,7.828629266
125,P62491,HGNC:9760,RAB11A,"RAB11A, member RAS oncogene family",YL8,,1.811127998
126,Q96Q35,HGNC:14439,FLACC1,flagellum associated containing coiled-coil domains 1,,,1.122524937
127,Q2M2D7,HGNC:26858,TBC1D28,TBC1 domain family member 28,FLJ40244,,1.841740151
128,Q8TEW0,HGNC:16051,PARD3,par-3 family cell polarity regulator,PAR3|PARD3A|Bazooka|Baz|ASIP|PPP1R118,"atypical PKC isotype-specific interacting protein|par-3 family cell polarity regulator alpha|protein phosphatase 1, regulatory subunit 118",1.175003152
129,Q9Y566,HGNC:15474,SHANK1,SH3 and multiple ankyrin repeat domains 1,SSTRIP|SPANK-1|synamon,somatostatin receptor-interacting protein,1.024985837
130,O95721,HGNC:11133,SNAP29,synaptosome associated protein 29,SNAP-29|CEDNIK,"soluble 29 kDa NSF attachment protein|cerebral dysgenesis, neuropathy, ichthyosis and keratoderma syndrome",2.654198902
131,Q8TDD2,HGNC:17321,SP7,Sp7 transcription factor,osterix|OSX,,1.43472893
132,Q9ULG3,HGNC:29231,CFAP92,cilia and flagella associated protein 92 (putative),FLJ43738|FAP92,,1.396082699
133,Q5T6C5,HGNC:28713,ATXN7L2,ataxin 7 like 2,MGC46534|FLJ00381,,1.837748489
134,P34897,HGNC:10852,SHMT2,serine hydroxymethyltransferase 2,mSHMT,mitochondrial serine hydroxymethyltransferase,1.068394057
135,Q9HA47,HGNC:14859,UCK1,uridine-cytidine kinase 1,URK1|FLJ12255,,1.209945989
136,Q8TC20,HGNC:21622,CAGE1,cancer antigen 1,bA69L16.7|CT95,cancer/testis antigen 95,1.304111448
137,Q9NRY5,HGNC:1333,FAM114A2,family with sequence similarity 114 member A2,133K02,,4.492284648
138,Q5TD94,HGNC:21558,RSPH4A,radial spoke head component 4A,dJ412I7.1|FLJ37974|RSPH6B|CILD11,,1.103456547
139,Q6ZU67,HGNC:23815,BEND4,BEN domain containing 4,FLJ35632|FLJ43965,,1.287330141
140,Q6PI77,HGNC:29353,GPRASP3,G protein-coupled receptor associated sorting protein family member 3,p60TRP|KIAA1701|GASP3,p60-transcription-regulator-protein,1.269578021
141,Q96Q07,HGNC:21228,BTBD9,BTB domain containing 9,KIAA1880|dJ322I12.1,,1.754185774
142,O60282,HGNC:6325,KIF5C,kinesin family member 5C,NKHC2,neuron-specific kinesin heavy chain 2,1.671699939
143,Q9NP61,HGNC:661,ARFGAP3,ADP ribosylation factor GTPase activating protein 3,,,1.269242433
144,Q96AY2,HGNC:24965,EME1,essential meiotic structure-specific endonuclease 1,FLJ31364|MMS4L|SLX2A,SLX2 structure-specific endonuclease subunit homolog A (S. cerevisiae),1.217778364
145,Q6ZW13,HGNC:33755,C16orf86,chromosome 16 open reading frame 86,FLJ41802,,1.296642096
146,Q9Y259,HGNC:1938,CHKB,choline kinase beta,CHETK,,1.363936816
147,Q8NEZ2,HGNC:24928,VPS37A,VPS37A subunit of ESCRT-I,FLJ32642|HCRP1|SPG53,hepatocellular carcinoma related protein 1,1.096063342
148,Q9Y5K6,HGNC:14258,CD2AP,CD2 associated protein,CMS,Cas ligand with multiple Src homology (SH) 3 domains,1.589440529
149,Q6ZNJ1,HGNC:31928,NBEAL2,neurobeachin like 2,KIAA0540,,1.27034911
150,Q9ULD9,HGNC:29238,ZNF608,zinc finger protein 608,KIAA1281|DKFZp434M098|NY-REN-36,,1.340154249
151,O60356,HGNC:29990,NUPR1,"nuclear protein 1, transcriptional regulator",COM1|p8,candidate of metastasis 1,1.836236801
152,O00186,HGNC:11446,STXBP3,syntaxin binding protein 3,UNC-18C,,1.297130191
153,P41235,HGNC:5024,HNF4A,hepatocyte nuclear factor 4 alpha,NR2A1|HNF4,,1.248211067
154,Q149N8,HGNC:19336,SHPRH,SNF2 histone linker PHD RING helicase,FLJ90837|KIAA2023|bA545I5.2,,1.075446166
155,P46199,HGNC:7441,MTIF2,mitochondrial translational initiation factor 2,IF-2mt,,1.818877
156,O00161,HGNC:11131,SNAP23,synaptosome associated protein 23,SNAP23A|SNAP23B|HsT17016,,2.443240963
157,O15021,HGNC:19037,MAST4,microtubule associated serine/threonine kinase family member 4,KIAA0303,,1.121737925
158,Q8NEM8,HGNC:27981,AGBL3,AGBL carboxypeptidase 3,MGC32955|CCP3,,1.176946208
159,Q9BZA5,HGNC:18473,TXLNGY,taxilin gamma Y-linked (pseudogene),,,14.2117992
160,Q9NP79,HGNC:20954,VTA1,vesicle trafficking 1,HSPC228|My012,,1.600998073
161,Q9NRE2,HGNC:13010,TSHZ2,teashirt zinc finger homeobox 2,ZABC2|OVC10-2|TSH2,,1.294861489
162,Q15696,HGNC:23019,ZRSR2,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2",U2AF1-RS2|URP|ZC3H22,,8.243766188
163,Q9P032,HGNC:21034,NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4,HSPC125|bA22L21.1|My013|HRPAP20,,2.920615601
164,O00203,HGNC:566,AP3B1,adaptor related protein complex 3 subunit beta 1,ADTB3A|HPS2,beta-3A,2.310576808
165,O43290,HGNC:10538,SART1,"spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP",Ara1|Snu66|SNRNP110|HAF,small nuclear ribonucleoprotein 110kDa (U4/U6.U5)|hypoxia associated factor,1.362074891
166,Q9UPQ0,HGNC:29191,LIMCH1,LIM and calponin homology domains 1,DKFZP686A01247|LIMCH1A|LMO7B,,1.370732169
167,Q16644,HGNC:6888,MAPKAPK3,MAPK activated protein kinase 3,3pK|MAPKAP3|3PK|MK-3|MK3,,1.375548117
168,P00966,HGNC:758,ASS1,argininosuccinate synthase 1,CTLN1,,1.446899591
169,Q96G42,HGNC:25145,KLHDC7B,kelch domain containing 7B,MGC16635,,1.151219184
170,Q96BZ8,HGNC:15502,LENG1,leukocyte receptor cluster member 1,,,1.215499471
171,Q01432,HGNC:470,AMPD3,adenosine monophosphate deaminase 3,,erythrocyte-specific AMP deaminase,1.526960883
172,Q9NWM3,HGNC:31350,CUEDC1,CUE domain containing 1,,,1.746519978
173,Q6ZV73,HGNC:21740,FGD6,"FYVE, RhoGEF and PH domain containing 6",ZFYVE24|FLJ11183,,7.188493743
174,Q9H2M3,HGNC:1048,BHMT2,betaine--homocysteine S-methyltransferase 2,,,1.270177535
175,Q8NDW8,HGNC:30761,TTC21A,tetratricopeptide repeat domain 21A,STI2|IFT139A|Thm2,Stress-inducible protein 2,1.142174373
176,Q8N535,HGNC:28668,LINC00471,long intergenic non-protein coding RNA 471,MGC43122,,1.37579083
177,Q9HAW4,HGNC:19715,CLSPN,claspin,,,1.421116528
178,Q9Y2H9,HGNC:19034,MAST1,microtubule associated serine/threonine kinase 1,SAST|KIAA0973,,1.121936867
179,Q6NZ36,HGNC:26428,FAAP20,FA core complex associated protein 20,FLJ31031,,1.587308273
180,Q9UM13,HGNC:24077,ANAPC10,anaphase promoting complex subunit 10,APC10|DOC1|DKFZP564L0562,,1.483033433
181,Q9NZQ9,HGNC:11874,TMOD4,tropomodulin 4,Sk-Tmod,actin-capping protein|skeletal tropomodulin,1.44290232
182,P57796,HGNC:1386,CABP4,calcium binding protein 4,CSNB2B,,1.410628547
183,Q5SQS7,HGNC:31440,SH2D4B,SH2 domain containing 4B,,,1.502111726
184,P14317,HGNC:4844,HCLS1,hematopoietic cell-specific Lyn substrate 1,HS1|CTTNL,cortactin-like,1.185781174
185,Q9P266,HGNC:29283,JCAD,junctional cadherin 5 associated,,junctional protein associated with coronary artery disease,3.070718074
186,Q99584,HGNC:10490,S100A13,S100 calcium binding protein A13,,,1.666816596
187,P46060,HGNC:9854,RANGAP1,Ran GTPase activating protein 1,Fug1|KIAA1835,,1.047226633
188,P49916,HGNC:6600,LIG3,DNA ligase 3,LIG3alpha,DNA ligase III,1.301470995
189,Q16650,HGNC:11590,TBR1,T-box brain transcription factor 1,,,1.098851861
190,O75391,HGNC:11216,SPAG7,sperm associated antigen 7,FSA-1|ACRP|MGC20134,,1.20504334
191,P35637,HGNC:4010,FUS,FUS RNA binding protein,TLS|FUS1|hnRNP-P2|HNRNPP2,heterogeneous nuclear ribonucleoprotein P2|translocated in liposarcoma,1.175810536
192,P10074,HGNC:4930,ZBTB48,zinc finger and BTB domain containing 48,ZNF855|TZAP,telomeric zinc finger-associated protein,1.22014171
193,O75150,HGNC:16867,RNF40,ring finger protein 40,KIAA0661|RBP95|BRE1B|STARING,BRE1 E3 ubiquitin ligase homolog B (S. cerevisiae),1.081463857
194,Q9UBF1,HGNC:13574,MAGEC2,MAGE family member C2,CT10|MAGE-C2|HCA587,cancer/testis antigen 10,3.308006071
195,P60484,HGNC:9588,PTEN,phosphatase and tensin homolog,MMAC1|TEP1|PTEN1,"mutated in multiple advanced cancers 1|Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",1.460596903
196,A1YPR0,HGNC:31700,ZBTB7C,zinc finger and BTB domain containing 7C,ZNF857C,,1.233703461
197,O00221,HGNC:7799,NFKBIE,NFKB inhibitor epsilon,IKBE,NF-kappa-B inhibitor epsilon,1.624065568
198,Q8TF72,HGNC:30422,SHROOM3,shroom family member 3,ShrmL|SHRM|KIAA1481|APXL3,,1.261216405
199,Q9NP95,HGNC:3677,FGF20,fibroblast growth factor 20,,,1.259653463
200,O60678,HGNC:30163,PRMT3,protein arginine methyltransferase 3,,,1.748374073
201,O14776,HGNC:15630,TCERG1,transcription elongation regulator 1,CA150|Urn1,"transcription factor CA150|co-activator of 150 kDa|TATA box binding protein (TBP)-associated factor, RNA polymerase II, S, 150kD|TATA box-binding protein-associated factor 2S",1.245827121
202,O60861,HGNC:4169,GAS7,growth arrest specific 7,KIAA0394|MGC1348,,5.619475361
203,A8MZ36,HGNC:35236,EVPLL,envoplakin like,,,2.066730317
204,Q9UHD8,HGNC:7323,SEPTIN9,septin 9,MSF1|KIAA0991|PNUTL4|AF17q25|SeptD1,Ov/Br septin|peanut-like 4 (Drosophila),1.105049337
205,O60749,HGNC:11173,SNX2,sorting nexin 2,,,2.040719417
206,Q8IW35,HGNC:26244,CEP97,centrosomal protein 97,FLJ23047,,1.388246401
207,Q96FZ7,HGNC:25675,CHMP6,charged multivesicular body protein 6,FLJ11749|VPS20,,1.381467287
208,Q8WVZ9,HGNC:25266,KBTBD7,kelch repeat and BTB domain containing 7,DKFZP434E2318,,9.290669973
209,Q6P0N0,HGNC:20190,MIS18BP1,MIS18 binding protein 1,M18BP1|FLJ11186|KIAA1903|KNL2,kinetochore null 2 homolog (C. elegans),2.148725564
210,Q5TFG8,HGNC:21174,ZC2HC1B,zinc finger C2HC-type containing 1B,dJ468K18.5,,1.548957323
211,Q92817,HGNC:3503,EVPL,envoplakin,EVPK,,1.43622163
212,Q9BV57,HGNC:30576,ADI1,acireductone dioxygenase 1,SIPL|MTCBP-1|ARD|APL1|FLJ10913|HMFT1638|mtnD,membrane-type 1 matrix metalloproteinase cytoplasmic tail binding protein-1,1.226045034
213,Q9UK41,HGNC:18178,VPS28,VPS28 subunit of ESCRT-I,CIIA,,1.386229674
214,P50548,HGNC:3444,ERF,ETS2 repressor factor,PE-2|PE2,,2.115318143
215,Q9HCS5,HGNC:13278,EPB41L4A,erythrocyte membrane protein band 4.1 like 4A,NBL4,,1.245570027
216,O15381,HGNC:8070,NVL,nuclear VCP like,NVL2,Nuclear valosin-containing protein-like|nuclear VCP-like protein,1.628351622
217,P49754,HGNC:12713,VPS41,VPS41 subunit of HOPS complex,HVSP41,,1.872360666
