Gene	"Gene description"	Evidence	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"TAU score - Brain"	"Single Cell Type RNA - Astrocytes [nTPM]"	"Single Cell Type RNA - dendritic cells [nTPM]"	"Single Cell Type RNA - Excitatory neurons [nTPM]"	"Single Cell Type RNA - Inhibitory neurons [nTPM]"	"Single Cell Type RNA - Microglial cells [nTPM]"	"Single Cell Type RNA - Oligodendrocyte precursor cells [nTPM]"	"Single Cell Type RNA - Oligodendrocytes [nTPM]"	"Single Cell Type RNA - Schwann cells [nTPM]"
AARS1	"Alanyl-tRNA synthetase 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.07	19.2	7.8	34.3	37.4	7.2	13.7	28.7	18.3
AARS2	"Alanyl-tRNA synthetase 2, mitochondrial"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.13	5.0	8.4	5.3	8.6	1.8	2.8	3.3	3.0
AARSD1	"Alanyl-tRNA synthetase domain containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 56.1;Spermatocytes: 38.1"	"Low region specificity"	"Detected in all"			0.11	0.0	3.7	0.0	0.0	0.0	0.0	0.0	3.5
AASS	"Aminoadipate-semialdehyde synthase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 43.0"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 138.4;Hepatocytes: 220.5;Oligodendrocytes: 123.3;Ovarian stromal cells: 129.0"	"Low region specificity"	"Detected in all"			0.22	138.4	2.0	4.8	4.2	34.0	99.5	123.3	64.9
AATF	"Apoptosis antagonizing transcription factor"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 161.2"	"Low region specificity"	"Detected in all"			0.11	23.8	43.1	27.6	23.5	28.6	27.4	53.7	25.1
AATK	"Apoptosis associated tyrosine kinase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 98.7;intestine: 30.0"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 81.1;Oligodendrocytes: 226.4;Schwann cells: 84.6"	"Low region specificity"	"Detected in all"			0.15	16.1	13.7	33.5	34.5	2.7	19.8	226.4	84.6
ABAT	"4-aminobutyrate aminotransferase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 127.6;kidney: 128.6;liver: 335.3;pancreas: 134.0"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 263.2;Horizontal cells: 67.4;Inhibitory neurons: 91.1;Oligodendrocyte precursor cells: 72.2;Proximal tubular cells: 76.0"	"Low region specificity"	"Detected in all"			0.08	37.5	3.0	40.4	91.1	18.8	72.2	16.5	9.0
ABCA1	"ATP binding cassette subfamily A member 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"granulocytes: 147.1;Hepatocytes: 135.0;Kupffer cells: 149.2;Langerhans cells: 126.1;Macrophages: 114.3"	"Low region specificity"	"Detected in all"			0.14	67.8	7.1	7.9	21.7	36.7	54.2	7.2	69.8
ABCA12	"ATP binding cassette subfamily A member 12"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"breast: 5.6;skin 1: 20.2"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 12.2;Basal respiratory cells: 7.0;Ionocytes: 6.3;Suprabasal keratinocytes: 32.7"	"Low region specificity"	"Detected in single"			0.53	1.2	0.0	1.3	2.8	0.0	1.4	0.5	0.0
ABCA13	"ATP binding cassette subfamily A member 13"	"Evidence at transcript level"	"Tissue enriched"	"Detected in some"	15	"bone marrow: 44.1"	"Group enriched"	"Detected in some"	4	"Basal respiratory cells: 34.1;Ciliated cells: 52.9;Club cells: 21.9;Ionocytes: 67.0"	"Low region specificity"	"Detected in some"			0.30	0.3	0.0	0.6	0.5	0.0	0.0	0.3	0.0
ABCA2	"ATP binding cassette subfamily A member 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	8	"brain: 189.4"	"Cell type enriched"	"Detected in many"	7	"Oligodendrocytes: 361.9"	"Low region specificity"	"Detected in all"			0.15	24.8	23.0	22.6	19.9	4.5	11.8	361.9	49.9
ABCA4	"ATP binding cassette subfamily A member 4"	"Evidence at protein level"	"Group enriched"	"Detected in some"	43	"choroid plexus: 93.3;retina: 343.6"	"Group enriched"	"Detected in some"	5	"Cone photoreceptor cells: 261.7;Rod photoreceptor cells: 517.5"	"Region enriched"	"Detected in many"	17	"choroid plexus: 313.0"	0.86	1.2	0.0	0.4	0.6	18.8	0.5	0.0	0.0
ABCA5	"ATP binding cassette subfamily A member 5"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Spermatocytes: 207.7"	"Low region specificity"	"Detected in all"			0.16	13.6	15.9	138.3	176.9	19.7	75.0	98.0	13.6
ABCA6	"ATP binding cassette subfamily A member 6"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 75.6"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 60.4;Fibroblasts: 120.4;Hepatocytes: 85.4;Inhibitory neurons: 74.7;Langerhans cells: 57.3;Microglial cells: 89.5;Ovarian stromal cells: 83.2;Schwann cells: 69.6"	"Low region specificity"	"Detected in all"			0.31	2.8	2.2	60.4	74.7	89.5	4.2	31.1	69.6
ABCA7	"ATP binding cassette subfamily A member 7"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"pituitary gland: 28.0"	"Group enriched"	"Detected in many"	4	"Alveolar cells type 1: 128.3;Bipolar cells: 112.4;Cone photoreceptor cells: 115.5;Extravillous trophoblasts: 366.9;Rod photoreceptor cells: 239.4"	"Low region specificity"	"Detected in all"			0.34	8.1	21.2	12.5	11.0	4.5	1.4	2.2	4.7
ABCA8	"ATP binding cassette subfamily A member 8"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Fibroblasts: 233.8;Leydig cells: 512.7;Microglial cells: 154.8;Oligodendrocytes: 378.5;Ovarian stromal cells: 128.9;Schwann cells: 228.2;Sertoli cells: 206.7"	"Low region specificity"	"Detected in all"			0.26	0.6	0.0	0.5	0.6	154.8	0.5	378.5	228.2
ABCA9	"ATP binding cassette subfamily A member 9"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 53.7;Fibroblasts: 92.9;Inhibitory neurons: 70.3;Leydig cells: 94.8;Microglial cells: 217.4"	"Low region specificity"	"Detected in all"			0.06	2.5	0.0	53.7	70.3	217.4	5.7	10.1	32.8
ABCB1	"ATP binding cassette subfamily B member 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adrenal gland: 98.7;intestine: 68.8"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 101.1;Microglial cells: 544.8;Proximal enterocytes: 247.2"	"Low region specificity"	"Detected in all"			0.12	3.7	4.0	15.6	10.9	544.8	5.7	2.9	0.8
ABCB11	"ATP binding cassette subfamily B member 11"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	13	"liver: 78.1"	"Group enriched"	"Detected in some"	5	"Early spermatids: 45.5;Hepatocytes: 122.9"	"Low region specificity"	"Detected in some"			0.59	1.2	0.4	0.8	0.3	0.0	0.0	0.3	0.0
ABCB4	"ATP binding cassette subfamily B member 4"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	16	"liver: 119.4"	"Cell type enriched"	"Detected in some"	10	"Hepatocytes: 202.2"	"Low region specificity"	"Detected in many"			0.29	0.3	0.0	0.6	1.7	3.6	0.5	0.0	1.0
ABCB6	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in some"		"Astrocytes: 13.9;Excitatory neurons: 12.5;Gastric mucus-secreting cells: 4.7;Inhibitory neurons: 10.4;Oligodendrocyte precursor cells: 12.7;Oligodendrocytes: 5.2"	"Low region specificity"	"Detected in all"			0.11	13.9	0.0	12.5	10.4	3.6	12.7	5.2	0.2
ABCB7	"ATP binding cassette subfamily B member 7"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.16	45.5	24.5	36.6	37.4	42.9	41.0	43.4	19.8
ABCB8	"ATP binding cassette subfamily B member 8"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Syncytiotrophoblasts: 82.8"	"Low region specificity"	"Detected in all"			0.06	15.8	13.9	15.4	17.1	2.7	6.6	11.0	18.0
ABCB9	"ATP binding cassette subfamily B member 9"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 19.8"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 44.8;Inhibitory neurons: 40.0;Plasma cells: 99.6"	"Low region specificity"	"Detected in all"			0.11	12.7	2.2	44.8	40.0	7.2	3.8	16.8	2.0
ABCC1	"ATP binding cassette subfamily C member 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.46	10.2	9.3	25.7	36.9	10.7	11.3	14.8	8.3
ABCC3	"ATP binding cassette subfamily C member 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adrenal gland: 57.3;liver: 49.1"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 221.3;Distal enterocytes: 227.9;Exocrine glandular cells: 119.5;Gastric mucus-secreting cells: 229.3;Hepatocytes: 150.5;Late spermatids: 128.5;Paneth cells: 182.8"	"Low region specificity"	"Detected in all"			0.45	0.0	0.4	4.2	0.8	2.7	0.5	0.5	0.6
ABCC4	"ATP binding cassette subfamily C member 4"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"prostate: 39.8"	"Cell type enriched"	"Detected in many"	4	"Microglial cells: 194.1"	"Low region specificity"	"Detected in all"			0.22	26.9	0.0	13.1	9.8	194.1	15.1	2.4	0.9
ABCC5	"ATP binding cassette subfamily C member 5"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cone photoreceptor cells: 125.7;Excitatory neurons: 97.9;Inhibitory neurons: 117.9;Rod photoreceptor cells: 121.9"	"Region enriched"	"Detected in all"	4	"choroid plexus: 323.0"	0.29	37.2	1.6	97.9	117.9	31.3	77.4	58.4	21.6
ABCC6	"ATP binding cassette subfamily C member 6"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 22.4;liver: 45.9"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 19.1;Hepatocytes: 46.7;Proximal enterocytes: 23.3;Proximal tubular cells: 45.4"	"Low region specificity"	"Detected in many"			0.24	2.8	0.0	1.0	1.0	3.6	0.9	0.4	0.0
ABCC8	"ATP binding cassette subfamily C member 8"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 42.2;pancreas: 19.5;pituitary gland: 33.4"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 18.6;Bipolar cells: 47.0;Endometrial stromal cells: 16.4;Enteroendocrine cells: 16.5;Excitatory neurons: 46.6;Horizontal cells: 18.9;Inhibitory neurons: 37.6;Oligodendrocyte precursor cells: 36.8;Pancreatic endocrine cells: 30.6"	"Low region specificity"	"Detected in all"			0.16	18.6	0.0	46.6	37.6	3.6	36.8	7.1	0.0
ABCC9	"ATP binding cassette subfamily C member 9"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"skeletal muscle: 39.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 68.4;Cardiomyocytes: 37.0;Fibroblasts: 30.5;Hepatocytes: 83.2;Sertoli cells: 46.2;Skeletal myocytes: 53.7;Smooth muscle cells: 84.8"	"Low region specificity"	"Detected in all"			0.15	68.4	0.0	16.6	1.0	2.7	1.4	1.3	0.2
ABCD3	"ATP binding cassette subfamily D member 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 122.8"	"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.07	61.0	2.8	31.6	45.5	38.5	63.2	89.8	50.9
ABCE1	"ATP binding cassette subfamily E member 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	14.6	75.5	23.4	26.6	11.6	17.0	34.9	50.1
ABCF1	"ATP binding cassette subfamily F member 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.06	6.8	58.7	6.6	7.1	2.7	1.9	8.6	51.0
ABCF2	"ATP binding cassette subfamily F member 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.07	9.6	14.9	12.2	12.1	7.2	6.6	9.7	11.1
ABCF2-H2BK1	"ABCF2-H2BK1 readthrough"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 1.0;dendritic cells: 1.8"	"Low region specificity"	"Detected in all"			0.24	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.7
ABCF3	"ATP binding cassette subfamily F member 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.05	5.9	7.5	6.9	9.5	3.6	6.1	6.8	7.7
ABCG1	"ATP binding cassette subfamily G member 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Rod photoreceptor cells: 118.8;Syncytiotrophoblasts: 76.7"	"Low region specificity"	"Detected in all"			0.09	0.3	14.2	12.7	17.1	7.2	40.6	37.8	3.9
ABCG2	"ATP binding cassette subfamily G member 2 (Junior blood group)"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 85.9"	"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 198.2;Distal enterocytes: 98.5;Extravillous trophoblasts: 89.8;Hofbauer cells: 125.1;Microglial cells: 177.1;Proximal enterocytes: 212.5"	"Low region specificity"	"Detected in all"			0.12	3.7	0.0	1.1	0.7	177.1	10.4	0.8	4.0
ABCG8	"ATP binding cassette subfamily G member 8"	"Evidence at protein level"	"Group enriched"	"Detected in some"	52	"intestine: 30.6;liver: 61.9"	"Cell type enhanced"	"Detected in some"		"Hepatocytes: 67.5;Oocytes: 10.3;Paneth cells: 16.2;Proximal enterocytes: 33.9"	"Low region specificity"	"Detected in all"			0.21	0.0	0.0	3.5	2.6	0.0	0.5	0.4	0.2
ABHD10	"Abhydrolase domain containing 10, depalmitoylase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.05	10.5	16.5	15.5	15.5	14.3	13.7	14.5	17.6
ABHD11	"Abhydrolase domain containing 11"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 139.0"	"Low region specificity"	"Detected in all"			0.17	3.1	4.4	5.6	3.8	4.5	2.8	3.4	4.7
ABHD12B	"Abhydrolase domain containing 12B"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"brain: 6.6;retina: 13.9;skin 1: 10.1"	"Cell type enriched"	"Detected in some"	5	"Muller glia cells: 165.0"	"Low region specificity"	"Detected in all"			0.28	0.3	0.4	9.6	0.7	0.0	0.9	4.1	0.0
ABHD13	"Abhydrolase domain containing 13"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.20	7.7	13.5	20.7	16.7	14.3	15.1	14.2	10.2
ABHD14A	"Abhydrolase domain containing 14A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 122.3"	"Low region specificity"	"Detected in all"			0.08	0.0	14.4	0.0	0.0	0.0	0.0	0.0	11.8
ABHD14A-ACY1	"ABHD14A-ACY1 readthrough"	"Evidence at protein level"	"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in many"		"Hepatocytes: 14.5;Proximal enterocytes: 43.5;Proximal tubular cells: 17.2;Rod photoreceptor cells: 13.7"	"Low region specificity"	"Detected in single"			0.44	0.0	0.4	1.0	1.5	0.0	0.5	1.1	0.2
ABHD14B	"Abhydrolase domain containing 14B"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Proximal enterocytes: 322.3;Proximal tubular cells: 234.1"	"Low region specificity"	"Detected in all"			0.20	7.4	40.5	9.7	10.3	13.4	4.2	8.7	37.8
ABHD15	"Abhydrolase domain containing 15"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 25.4"	"Cell type enriched"	"Detected in many"	6	"dendritic cells: 175.8"	"Low region specificity"	"Detected in all"			0.10	2.5	175.8	0.3	0.5	2.7	0.5	1.1	7.2
ABHD16B	"Abhydrolase domain containing 16B"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"testis: 15.5"	"Group enriched"	"Detected in some"	68	"Early spermatids: 95.5;Late spermatids: 286.2"	"Low region specificity"	"Detected in all"			0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1
ABHD17A	"Abhydrolase domain containing 17A, depalmitoylase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 199.2"	"Cell type enhanced"	"Detected in all"		"NK-cells: 397.6"	"Low region specificity"	"Detected in all"			0.06	12.7	54.8	12.3	12.0	18.8	4.7	58.8	48.5
ABHD18	"Abhydrolase domain containing 18"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 71.1;Inhibitory neurons: 78.1"	"Low region specificity"	"Detected in all"			0.16	37.5	23.4	71.1	78.1	42.0	38.2	43.9	15.4
ABHD2	"Abhydrolase domain containing 2, acylglycerol lipase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 133.5"	"Cell type enhanced"	"Detected in all"		"Early spermatids: 289.8;Hepatocytes: 331.2;Late spermatids: 500.4;Oligodendrocyte precursor cells: 395.3"	"Low region specificity"	"Detected in all"			0.21	83.0	30.4	100.2	109.9	44.7	395.3	50.6	60.0
ABHD3	"Abhydrolase domain containing 3, phospholipase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Distal enterocytes: 116.4;Syncytiotrophoblasts: 110.1"	"Low region specificity"	"Detected in all"			0.18	40.3	3.2	26.2	29.7	32.2	16.0	10.0	17.0
ABHD4	"Abhydrolase domain containing 4, N-acyl phospholipase B"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Syncytiotrophoblasts: 32.0"	"Low region specificity"	"Detected in all"			0.09	2.5	5.0	1.1	1.1	0.9	3.8	3.5	6.9
ABHD5	"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"monocytes: 488.3;Syncytiotrophoblasts: 482.4"	"Low region specificity"	"Detected in all"			0.15	12.1	30.1	23.3	23.1	10.7	17.0	26.8	42.3
ABHD6	"Abhydrolase domain containing 6, acylglycerol lipase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 62.9"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 53.2;Oligodendrocytes: 82.5;Proximal enterocytes: 53.5"	"Low region specificity"	"Detected in all"			0.13	10.8	7.6	32.5	32.9	10.7	35.4	82.5	10.2
ABHD8	"Abhydrolase domain containing 8"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 98.3"	"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 62.9;Early spermatids: 143.7;Late spermatids: 291.4"	"Low region specificity"	"Detected in all"			0.12	19.8	3.4	22.0	18.5	8.1	2.4	1.3	3.5
ABI1	"Abl interactor 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 263.8"	"Low region specificity"	"Detected in all"			0.11	263.8	66.0	78.9	127.7	102.0	120.7	44.1	45.5
ABI2	"Abl interactor 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 194.5"	"Low region specificity"	"Detected in all"			0.07	117.0	45.4	194.5	123.1	54.6	107.1	87.7	30.2
ABITRAM	"Actin binding transcription modulator"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.05	10.8	5.6	16.6	14.3	2.7	6.6	8.3	3.4
ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oligodendrocytes: 108.0"	"Low region specificity"	"Detected in all"			0.05	52.0	18.0	50.8	61.1	68.0	62.7	108.0	51.9
ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Langerhans cells: 231.9"	"Low region specificity"	"Detected in all"			0.07	41.8	9.7	78.8	59.3	42.9	67.9	53.2	52.3
ABLIM1	"Actin binding LIM protein 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 830.4;Cardiomyocytes: 655.7;Peritubular cells: 400.6;Squamous epithelial cells: 483.6"	"Low region specificity"	"Detected in all"			0.19	830.4	4.4	227.9	312.1	204.0	47.2	8.6	45.8
ABLIM2	"Actin binding LIM protein family member 2"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"skeletal muscle: 197.6;tongue: 70.6"	"Group enriched"	"Detected in many"	4	"Excitatory neurons: 90.2;Inhibitory neurons: 64.8;Skeletal myocytes: 46.8"	"Low region specificity"	"Detected in all"			0.15	9.0	0.0	90.2	64.8	2.7	15.1	16.4	0.2
